seconds,state,googleCalls,netflixCalls
1,0.00,29,0
2,0.00,14,0
3,500.00,50,0
4,500.00,66,0
5,500.00,81,0
6,500.00,75,0
7,500.00,77,0
8,500.00,80,0
9,500.00,84,0
10,500.00,75,0
11,500.00,86,0
12,500.00,74,0
13,500.00,77,0
14,500.00,83,0
15,500.00,79,0
16,500.00,76,0
17,500.00,78,0
18,500.00,77,0
19,500.00,77,0
20,0.00,76,0
21,0.00,80,0
22,0.00,76,0
23,0.00,77,0
24,0.00,71,0
25,0.00,60,0
26,0.00,50,0
27,0.00,32,0
28,500.00,28,0
29,500.00,5,0
30,500.00,5,0
31,500.00,7,0
32,500.00,15,0
33,500.00,23,0
34,500.00,38,0
35,500.00,63,0
36,500.00,74,0
37,500.00,79,0
38,500.00,76,0
39,500.00,77,0
40,500.00,74,0
41,500.00,83,0
42,500.00,77,0
43,500.00,81,0
44,500.00,76,0
45,500.00,78,0
46,500.00,74,0
47,500.00,77,0
48,500.00,75,0
49,0.00,73,0
50,0.00,80,0
51,0.00,82,0
52,0.00,71,0
53,0.00,62,0
54,0.00,51,0
55,0.00,43,0
56,0.00,29,0
57,0.00,14,0
58,0.00,5,0
59,500.00,1,0
60,500.00,0,0
61,500.00,0,0
62,500.00,7,0
63,500.00,8,0
64,500.00,35,0
65,500.00,73,0
66,500.00,84,0
67,500.00,76,0
68,500.00,83,0
69,500.00,86,0
70,500.00,81,0
71,500.00,88,0
72,500.00,80,0
73,500.00,82,0
74,500.00,88,0
75,500.00,76,0
76,500.00,78,0
77,500.00,76,0
78,500.00,74,0
79,500.00,84,0
80,0.00,95,0
81,0.00,84,0
82,0.00,78,0
83,0.00,75,0
84,0.00,70,0
85,0.00,55,0
86,500.00,41,0
87,500.00,48,0
88,500.00,34,0
89,500.00,28,0
90,500.00,47,0
91,500.00,46,0
92,500.00,62,0
93,500.00,72,0
94,500.00,75,0
95,500.00,77,0
96,500.00,75,0
97,500.00,77,0
98,500.00,78,0
99,500.00,73,0
100,500.00,78,0
101,500.00,80,0
102,500.00,76,0
103,500.00,77,0
104,500.00,83,0
105,500.00,91,0
106,500.00,85,0
107,500.00,88,0
108,500.00,80,0
109,500.00,76,0
110,500.00,80,0
111,500.00,84,0
112,500.00,78,0
113,500.00,82,0
114,500.00,85,0
115,500.00,87,0
116,500.00,81,0
117,500.00,81,0
118,500.00,78,0
119,500.00,79,0
120,0.00,80,0
121,0.00,82,0
122,0.00,75,0
123,0.00,82,0
124,0.00,79,0
125,0.00,51,0
126,0.00,43,0
127,0.00,34,0
128,0.00,17,0
129,0.00,7,0
130,0.00,0,0
131,0.00,1,0
132,500.00,0,0
133,500.00,1,0
134,500.00,6,0
135,500.00,12,0
136,500.00,46,0
137,500.00,80,0
138,500.00,76,0
139,500.00,81,0
140,500.00,74,0
141,500.00,78,0
142,500.00,84,0
143,500.00,85,0
144,500.00,74,0
145,500.00,77,0
146,500.00,79,0
147,500.00,86,0
148,500.00,80,0
149,500.00,70,0
150,500.00,80,0
151,500.00,73,0
152,500.00,79,0
153,500.00,74,0
154,500.00,74,0
155,500.00,76,0
156,500.00,75,0
157,500.00,75,0
158,500.00,78,0
159,500.00,83,0
160,500.00,60,0
161,500.00,101,0
162,500.00,87,0
163,500.00,124,0
164,500.00,91,0
165,500.00,80,0
166,500.00,75,0
167,500.00,81,0
168,500.00,87,0
169,500.00,82,0
170,0.00,80,0
171,0.00,83,0
172,0.00,77,0
173,0.00,75,0
174,0.00,61,0
175,0.00,63,0
176,0.00,40,0
177,0.00,33,0
178,0.00,17,0
179,0.00,8,0
180,0.00,1,0
181,0.00,1,0
182,0.00,0,0
183,0.00,3,0
184,0.00,4,0
185,0.00,3,0
186,0.00,8,0
187,0.00,7,0
188,0.00,13,0
189,500.00,24,0
190,500.00,58,0
191,500.00,78,0
192,500.00,75,0
193,500.00,80,0
194,500.00,80,0
195,500.00,80,0
196,500.00,88,0
197,500.00,80,0
198,500.00,75,0
199,500.00,78,0
200,500.00,79,0
201,500.00,89,0
202,500.00,78,0
203,500.00,77,0
204,500.00,74,0
205,500.00,75,0
206,500.00,73,0
207,500.00,76,0
208,500.00,78,0
209,500.00,81,0
210,500.00,71,0
211,500.00,91,0
212,500.00,103,0
213,500.00,81,0
214,500.00,78,0
215,500.00,73,0
216,0.00,77,0
217,0.00,76,0
218,0.00,87,0
219,0.00,83,0
220,0.00,68,0
221,500.00,60,0
222,500.00,52,0
223,500.00,52,0
224,500.00,51,0
225,500.00,39,0
226,500.00,51,0
227,500.00,70,0
228,0.00,80,0
229,0.00,76,0
230,0.00,71,0
231,0.00,67,0
232,0.00,57,0
233,0.00,49,0
234,0.00,39,0
235,0.00,33,0
236,0.00,19,0
237,500.00,9,0
238,500.00,2,0
239,500.00,11,0
240,500.00,12,0
241,500.00,20,0
242,500.00,37,0
243,500.00,80,0
244,500.00,76,0
245,500.00,72,0
246,500.00,81,0
247,500.00,77,0
248,500.00,74,0
249,500.00,117,0
250,500.00,78,0
251,500.00,82,0
252,500.00,73,0
253,500.00,75,0
254,500.00,78,0
255,500.00,77,0
256,500.00,83,0
257,500.00,80,0
258,500.00,78,0
259,500.00,84,0
260,500.00,78,0
261,500.00,83,0
262,500.00,84,0
263,500.00,98,0
264,500.00,75,0
265,500.00,93,0
266,500.00,100,0
267,500.00,97,0
268,500.00,93,0
269,500.00,83,0
270,500.00,81,0
271,500.00,79,0
272,500.00,86,0
273,500.00,96,0
274,500.00,75,0
275,500.00,73,0
276,500.00,83,0
277,500.00,72,0
278,500.00,75,0
279,500.00,79,0
280,500.00,75,0
281,0.00,75,0
282,0.00,82,0
283,0.00,82,0
284,0.00,76,0
285,0.00,62,0
286,0.00,55,0
287,0.00,39,0
288,0.00,37,0
289,0.00,20,0
290,0.00,11,0
291,0.00,1,0
292,0.00,2,0
293,0.00,2,0
294,0.00,2,0
295,0.00,1,0
296,0.00,2,0
297,500.00,14,0
298,500.00,55,0
299,500.00,76,0
